destination,region,date,platform,sentiment,score,aspect,language,reviewer_type
Barcelona,Cataluña,2024-10-04,TripAdvisor,Negativo,1.1,Precio,fr,Pareja
Valencia,Comunidad Valenciana,2024-10-04,Airbnb,Positivo,4.3,Transporte,en,Amigos
Barcelona,Cataluña,2024-10-05,Google Reviews,Negativo,2.0,Atractivos,es,Pareja
Tenerife,Islas Canarias,2024-10-05,Airbnb,Negativo,1.0,Atractivos,fr,Solo
Tenerife,Islas Canarias,2024-10-06,TripAdvisor,Negativo,2.4,Gastronomía,es,Pareja
Sevilla,Andalucía,2024-10-06,Booking.com,Positivo,4.6,Precio,en,Familia
Tenerife,Islas Canarias,2024-10-06,Booking.com,Negativo,1.7,Transporte,es,Pareja
Sevilla,Andalucía,2024-10-06,TripAdvisor,Neutro,2.8,Alojamiento,en,Pareja
Valencia,Comunidad Valenciana,2024-10-07,Booking.com,Negativo,2.1,Atractivos,en,Negocios
Mallorca,Islas Baleares,2024-10-08,TripAdvisor,Negativo,2.1,Transporte,fr,Familia
Ronda,Andalucía,2024-10-08,TripAdvisor,Neutro,2.6,Gastronomía,en,Pareja
Granada,Andalucía,2024-10-09,TripAdvisor,Positivo,3.8,Transporte,de,Amigos
Mallorca,Islas Baleares,2024-10-09,Google Reviews,Negativo,1.3,Gastronomía,en,Solo
Costa Brava,Cataluña,2024-10-10,Booking.com,Positivo,4.5,Gastronomía,es,Pareja
San Sebastián,País Vasco,2024-10-10,Booking.com,Negativo,2.0,Gastronomía,es,Amigos
Picos de Europa,Asturias/Cantabria,2024-10-11,Airbnb,Neutro,3.3,Gastronomía,it,Amigos
Valencia,Comunidad Valenciana,2024-10-12,Airbnb,Negativo,2.2,Alojamiento,es,Solo
San Sebastián,País Vasco,2024-10-12,Airbnb,Positivo,4.7,Atractivos,en,Pareja
Picos de Europa,Asturias/Cantabria,2024-10-12,TripAdvisor,Positivo,4.7,Masificación,es,Familia
Madrid,Madrid,2024-10-13,TripAdvisor,Negativo,1.6,Alojamiento,es,Pareja
Teruel,Aragón,2024-10-13,Google Reviews,Positivo,4.4,Precio,es,Familia
Tenerife,Islas Canarias,2024-10-13,TripAdvisor,Neutro,3.4,Atractivos,en,Amigos
Costa Brava,Cataluña,2024-10-13,Booking.com,Negativo,1.2,Limpieza,en,Familia
Mallorca,Islas Baleares,2024-10-13,Google Reviews,Negativo,1.8,Transporte,en,Pareja
Picos de Europa,Asturias/Cantabria,2024-10-13,TripAdvisor,Positivo,4.4,Masificación,de,Amigos
Granada,Andalucía,2024-10-15,TripAdvisor,Positivo,4.3,Atractivos,es,Pareja
Extremadura,Extremadura,2024-10-15,Google Reviews,Positivo,4.7,Transporte,de,Amigos
Valencia,Comunidad Valenciana,2024-10-16,Airbnb,Positivo,3.8,Atractivos,en,Familia
Picos de Europa,Asturias/Cantabria,2024-10-16,Booking.com,Neutro,3.5,Limpieza,es,Familia
Costa del Sol,Andalucía,2024-10-16,TripAdvisor,Neutro,2.8,Atractivos,es,Pareja
Sevilla,Andalucía,2024-10-16,Booking.com,Positivo,4.4,Precio,fr,Familia
Tenerife,Islas Canarias,2024-10-16,TripAdvisor,Negativo,1.4,Limpieza,fr,Familia
Madrid,Madrid,2024-10-16,Google Reviews,Positivo,4.3,Limpieza,es,Solo
Ronda,Andalucía,2024-10-17,Airbnb,Positivo,4.4,Transporte,de,Amigos
Tenerife,Islas Canarias,2024-10-17,TripAdvisor,Positivo,3.7,Atractivos,de,Amigos
Sevilla,Andalucía,2024-10-18,Google Reviews,Neutro,2.8,Masificación,fr,Familia
Tenerife,Islas Canarias,2024-10-18,TripAdvisor,Negativo,2.1,Precio,de,Amigos
Ronda,Andalucía,2024-10-18,Airbnb,Negativo,1.9,Masificación,es,Pareja
Extremadura,Extremadura,2024-10-18,Booking.com,Positivo,4.1,Atractivos,de,Familia
Valencia,Comunidad Valenciana,2024-10-18,Booking.com,Positivo,3.9,Gastronomía,en,Pareja
Teruel,Aragón,2024-10-19,Booking.com,Neutro,2.9,Alojamiento,it,Familia
Granada,Andalucía,2024-10-19,TripAdvisor,Positivo,4.0,Atractivos,de,Pareja
Teruel,Aragón,2024-10-20,Booking.com,Positivo,4.0,Alojamiento,en,Pareja
Valencia,Comunidad Valenciana,2024-10-20,Google Reviews,Negativo,1.9,Limpieza,es,Pareja
Sevilla,Andalucía,2024-10-20,Booking.com,Negativo,2.2,Transporte,de,Amigos
Ronda,Andalucía,2024-10-20,Google Reviews,Negativo,1.6,Precio,es,Familia
Valencia,Comunidad Valenciana,2024-10-21,TripAdvisor,Positivo,3.5,Atractivos,es,Familia
Valencia,Comunidad Valenciana,2024-10-21,Google Reviews,Negativo,1.3,Alojamiento,es,Familia
Sevilla,Andalucía,2024-10-21,Booking.com,Neutro,3.5,Precio,de,Solo
Costa Brava,Cataluña,2024-10-22,Airbnb,Neutro,2.6,Alojamiento,es,Amigos
Granada,Andalucía,2024-10-22,Google Reviews,Neutro,3.5,Transporte,en,Amigos
Costa del Sol,Andalucía,2024-10-22,Booking.com,Positivo,4.0,Atractivos,de,Amigos
Costa Brava,Cataluña,2024-10-23,Google Reviews,Negativo,1.8,Masificación,it,Amigos
Sevilla,Andalucía,2024-10-23,TripAdvisor,Negativo,1.2,Gastronomía,es,Familia
Barcelona,Cataluña,2024-10-24,Airbnb,Neutro,3.2,Alojamiento,es,Familia
Barcelona,Cataluña,2024-10-24,Airbnb,Negativo,2.3,Limpieza,en,Solo
Costa Brava,Cataluña,2024-10-24,Booking.com,Positivo,4.8,Alojamiento,it,Pareja
Barcelona,Cataluña,2024-10-25,Booking.com,Neutro,3.1,Transporte,es,Pareja
Extremadura,Extremadura,2024-10-25,Booking.com,Positivo,4.0,Gastronomía,en,Pareja
Teruel,Aragón,2024-10-25,Airbnb,Positivo,4.7,Precio,es,Familia
Ronda,Andalucía,2024-10-26,TripAdvisor,Neutro,3.2,Transporte,en,Pareja
Barcelona,Cataluña,2024-10-26,Booking.com,Negativo,2.0,Masificación,es,Pareja
Madrid,Madrid,2024-10-26,Airbnb,Positivo,4.7,Precio,en,Pareja
Valencia,Comunidad Valenciana,2024-10-27,Google Reviews,Negativo,2.2,Gastronomía,en,Pareja
Madrid,Madrid,2024-10-27,Airbnb,Positivo,4.3,Precio,en,Solo
Madrid,Madrid,2024-10-28,Google Reviews,Neutro,2.9,Alojamiento,es,Pareja
Extremadura,Extremadura,2024-10-29,Booking.com,Positivo,4.9,Masificación,es,Familia
Sevilla,Andalucía,2024-10-30,Airbnb,Negativo,1.0,Alojamiento,en,Familia
Madrid,Madrid,2024-10-30,TripAdvisor,Negativo,2.2,Atractivos,en,Pareja
Madrid,Madrid,2024-11-02,Booking.com,Negativo,2.5,Precio,es,Pareja
Costa Brava,Cataluña,2024-11-02,Airbnb,Negativo,1.3,Precio,it,Amigos
Valencia,Comunidad Valenciana,2024-11-02,Airbnb,Neutro,2.7,Alojamiento,en,Pareja
Madrid,Madrid,2024-11-02,Google Reviews,Positivo,4.4,Alojamiento,en,Familia
Picos de Europa,Asturias/Cantabria,2024-11-02,Airbnb,Neutro,2.7,Masificación,en,Pareja
San Sebastián,País Vasco,2024-11-03,Airbnb,Negativo,1.6,Gastronomía,en,Pareja
Costa Brava,Cataluña,2024-11-03,TripAdvisor,Neutro,2.6,Gastronomía,de,Pareja
Mallorca,Islas Baleares,2024-11-03,Google Reviews,Negativo,1.5,Alojamiento,en,Familia
Costa del Sol,Andalucía,2024-11-03,TripAdvisor,Positivo,4.6,Masificación,fr,Familia
Ronda,Andalucía,2024-11-04,TripAdvisor,Negativo,1.0,Alojamiento,it,Negocios
Valencia,Comunidad Valenciana,2024-11-05,Airbnb,Neutro,3.1,Transporte,fr,Pareja
Valencia,Comunidad Valenciana,2024-11-05,Airbnb,Negativo,1.9,Gastronomía,fr,Pareja
Teruel,Aragón,2024-11-06,TripAdvisor,Positivo,4.9,Gastronomía,en,Solo
Madrid,Madrid,2024-11-06,Airbnb,Negativo,1.8,Atractivos,it,Pareja
Granada,Andalucía,2024-11-06,Booking.com,Positivo,3.8,Masificación,en,Familia
Picos de Europa,Asturias/Cantabria,2024-11-07,Booking.com,Positivo,3.9,Atractivos,fr,Solo
Madrid,Madrid,2024-11-08,Airbnb,Negativo,2.4,Alojamiento,es,Familia
Valencia,Comunidad Valenciana,2024-11-08,Google Reviews,Positivo,4.8,Precio,it,Solo
Sevilla,Andalucía,2024-11-09,Booking.com,Positivo,4.1,Transporte,de,Pareja
Valencia,Comunidad Valenciana,2024-11-10,Airbnb,Positivo,4.3,Limpieza,de,Pareja
Extremadura,Extremadura,2024-11-10,TripAdvisor,Positivo,4.0,Masificación,en,Amigos
Madrid,Madrid,2024-11-11,Google Reviews,Negativo,2.1,Alojamiento,es,Solo
Picos de Europa,Asturias/Cantabria,2024-11-12,Booking.com,Positivo,4.8,Gastronomía,fr,Pareja
Sevilla,Andalucía,2024-11-13,Booking.com,Negativo,1.7,Atractivos,en,Solo
Costa del Sol,Andalucía,2024-11-14,Booking.com,Positivo,3.8,Transporte,es,Amigos
Costa del Sol,Andalucía,2024-11-14,Google Reviews,Negativo,1.5,Precio,en,Negocios
Tenerife,Islas Canarias,2024-11-14,Google Reviews,Negativo,2.1,Precio,en,Amigos
Granada,Andalucía,2024-11-14,Google Reviews,Negativo,2.3,Alojamiento,de,Negocios
Extremadura,Extremadura,2024-11-14,Booking.com,Positivo,4.2,Atractivos,es,Pareja
Barcelona,Cataluña,2024-11-14,Booking.com,Neutro,3.1,Alojamiento,es,Pareja
Mallorca,Islas Baleares,2024-11-15,Airbnb,Positivo,4.7,Precio,en,Familia
Valencia,Comunidad Valenciana,2024-11-15,Google Reviews,Neutro,3.4,Precio,en,Familia
Madrid,Madrid,2024-11-15,Booking.com,Negativo,1.9,Transporte,en,Familia
Costa del Sol,Andalucía,2024-11-15,Booking.com,Negativo,1.3,Alojamiento,de,Pareja
Valencia,Comunidad Valenciana,2024-11-16,Google Reviews,Negativo,1.3,Gastronomía,en,Pareja
Valencia,Comunidad Valenciana,2024-11-16,Booking.com,Positivo,3.8,Masificación,es,Pareja
Barcelona,Cataluña,2024-11-16,Airbnb,Negativo,1.5,Transporte,it,Pareja
Sevilla,Andalucía,2024-11-17,TripAdvisor,Positivo,4.9,Precio,en,Pareja
Extremadura,Extremadura,2024-11-17,TripAdvisor,Neutro,2.7,Masificación,es,Pareja
Granada,Andalucía,2024-11-18,Google Reviews,Negativo,2.2,Transporte,fr,Solo
San Sebastián,País Vasco,2024-11-20,Google Reviews,Neutro,3.4,Transporte,es,Pareja
Barcelona,Cataluña,2024-11-20,Airbnb,Neutro,2.9,Alojamiento,en,Familia
Madrid,Madrid,2024-11-21,Airbnb,Neutro,3.0,Limpieza,fr,Pareja
Sevilla,Andalucía,2024-11-21,Booking.com,Positivo,3.7,Atractivos,de,Pareja
Extremadura,Extremadura,2024-11-21,TripAdvisor,Positivo,4.1,Alojamiento,de,Familia
Extremadura,Extremadura,2024-11-21,TripAdvisor,Positivo,4.2,Atractivos,es,Pareja
Mallorca,Islas Baleares,2024-11-21,Airbnb,Negativo,2.1,Alojamiento,it,Familia
Ronda,Andalucía,2024-11-21,Google Reviews,Positivo,4.3,Atractivos,es,Amigos
Tenerife,Islas Canarias,2024-11-22,Booking.com,Positivo,4.1,Precio,de,Negocios
Costa del Sol,Andalucía,2024-11-22,Booking.com,Positivo,3.5,Limpieza,en,Pareja
Madrid,Madrid,2024-11-23,Google Reviews,Positivo,3.5,Gastronomía,es,Negocios
Extremadura,Extremadura,2024-11-25,Google Reviews,Negativo,1.4,Limpieza,it,Pareja
Ronda,Andalucía,2024-11-25,Booking.com,Neutro,3.2,Alojamiento,de,Pareja
Picos de Europa,Asturias/Cantabria,2024-11-25,TripAdvisor,Positivo,4.2,Atractivos,en,Familia
Valencia,Comunidad Valenciana,2024-11-26,Google Reviews,Negativo,2.3,Precio,de,Familia
Valencia,Comunidad Valenciana,2024-11-27,Airbnb,Negativo,2.2,Transporte,en,Pareja
Mallorca,Islas Baleares,2024-11-27,TripAdvisor,Negativo,2.3,Masificación,en,Familia
San Sebastián,País Vasco,2024-11-28,Booking.com,Neutro,3.0,Precio,es,Familia
San Sebastián,País Vasco,2024-11-29,Google Reviews,Positivo,3.7,Precio,it,Familia
Mallorca,Islas Baleares,2024-11-30,Google Reviews,Positivo,4.5,Limpieza,en,Solo
Teruel,Aragón,2024-11-30,Booking.com,Positivo,4.7,Masificación,de,Familia
Teruel,Aragón,2024-11-30,TripAdvisor,Positivo,4.6,Gastronomía,en,Amigos
Madrid,Madrid,2024-11-30,Airbnb,Positivo,3.8,Precio,es,Pareja
Valencia,Comunidad Valenciana,2024-11-30,Booking.com,Positivo,4.7,Transporte,en,Amigos
Madrid,Madrid,2024-12-01,Booking.com,Positivo,4.6,Precio,es,Amigos
Sevilla,Andalucía,2024-12-01,TripAdvisor,Positivo,3.7,Atractivos,es,Amigos
Barcelona,Cataluña,2024-12-01,Google Reviews,Neutro,3.0,Alojamiento,es,Familia
Costa Brava,Cataluña,2024-12-01,Airbnb,Neutro,2.8,Transporte,de,Pareja
Teruel,Aragón,2024-12-02,TripAdvisor,Neutro,2.7,Alojamiento,es,Pareja
Extremadura,Extremadura,2024-12-02,Airbnb,Positivo,4.8,Limpieza,en,Pareja
Sevilla,Andalucía,2024-12-02,Google Reviews,Positivo,3.9,Limpieza,de,Pareja
Picos de Europa,Asturias/Cantabria,2024-12-03,Airbnb,Neutro,2.8,Alojamiento,es,Pareja
Costa Brava,Cataluña,2024-12-03,Airbnb,Negativo,2.2,Alojamiento,es,Negocios
Ronda,Andalucía,2024-12-03,TripAdvisor,Positivo,4.7,Transporte,en,Familia
Madrid,Madrid,2024-12-04,TripAdvisor,Negativo,1.1,Precio,de,Pareja
Costa del Sol,Andalucía,2024-12-04,Booking.com,Positivo,4.6,Atractivos,en,Familia
Mallorca,Islas Baleares,2024-12-05,TripAdvisor,Positivo,3.9,Precio,de,Pareja
Tenerife,Islas Canarias,2024-12-05,Google Reviews,Positivo,4.9,Limpieza,en,Amigos
Costa Brava,Cataluña,2024-12-06,TripAdvisor,Positivo,4.4,Alojamiento,fr,Amigos
Costa Brava,Cataluña,2024-12-06,Airbnb,Negativo,1.9,Alojamiento,de,Pareja
Sevilla,Andalucía,2024-12-06,TripAdvisor,Negativo,1.3,Precio,es,Amigos
Sevilla,Andalucía,2024-12-06,Google Reviews,Negativo,1.1,Masificación,es,Familia
San Sebastián,País Vasco,2024-12-07,Booking.com,Neutro,2.8,Masificación,de,Pareja
Valencia,Comunidad Valenciana,2024-12-07,Google Reviews,Positivo,4.3,Transporte,es,Pareja
Madrid,Madrid,2024-12-07,TripAdvisor,Neutro,2.8,Limpieza,fr,Familia
Teruel,Aragón,2024-12-07,Booking.com,Positivo,3.8,Alojamiento,en,Amigos
San Sebastián,País Vasco,2024-12-08,Booking.com,Positivo,4.6,Transporte,es,Negocios
Valencia,Comunidad Valenciana,2024-12-08,Airbnb,Positivo,4.3,Atractivos,en,Pareja
Costa Brava,Cataluña,2024-12-08,Airbnb,Positivo,4.7,Precio,de,Familia
Picos de Europa,Asturias/Cantabria,2024-12-08,TripAdvisor,Neutro,2.5,Gastronomía,it,Solo
Granada,Andalucía,2024-12-09,TripAdvisor,Negativo,1.4,Limpieza,en,Familia
Extremadura,Extremadura,2024-12-09,Google Reviews,Neutro,2.7,Gastronomía,en,Pareja
San Sebastián,País Vasco,2024-12-09,Airbnb,Neutro,2.7,Alojamiento,it,Amigos
Valencia,Comunidad Valenciana,2024-12-10,Booking.com,Positivo,4.5,Transporte,en,Pareja
San Sebastián,País Vasco,2024-12-10,Google Reviews,Positivo,4.5,Limpieza,es,Solo
Barcelona,Cataluña,2024-12-11,TripAdvisor,Neutro,2.9,Atractivos,es,Amigos
San Sebastián,País Vasco,2024-12-11,TripAdvisor,Negativo,1.3,Alojamiento,en,Pareja
Ronda,Andalucía,2024-12-11,Airbnb,Positivo,4.5,Alojamiento,fr,Pareja
Mallorca,Islas Baleares,2024-12-11,TripAdvisor,Negativo,1.4,Precio,en,Pareja
Extremadura,Extremadura,2024-12-11,Airbnb,Positivo,4.9,Atractivos,en,Familia
Mallorca,Islas Baleares,2024-12-12,Google Reviews,Neutro,2.6,Atractivos,en,Pareja
Granada,Andalucía,2024-12-12,Airbnb,Neutro,2.8,Precio,es,Amigos
Teruel,Aragón,2024-12-13,Booking.com,Positivo,4.4,Transporte,en,Pareja
Picos de Europa,Asturias/Cantabria,2024-12-13,Airbnb,Positivo,3.9,Transporte,es,Amigos
Mallorca,Islas Baleares,2024-12-13,Booking.com,Negativo,2.5,Masificación,es,Solo
Costa Brava,Cataluña,2024-12-14,Google Reviews,Positivo,4.4,Alojamiento,fr,Pareja
Madrid,Madrid,2024-12-14,Google Reviews,Neutro,3.2,Transporte,it,Pareja
Granada,Andalucía,2024-12-14,Booking.com,Negativo,1.1,Atractivos,de,Solo
Barcelona,Cataluña,2024-12-14,Google Reviews,Positivo,4.9,Alojamiento,it,Pareja
Teruel,Aragón,2024-12-15,Airbnb,Positivo,3.9,Precio,fr,Amigos
Picos de Europa,Asturias/Cantabria,2024-12-15,TripAdvisor,Neutro,3.5,Gastronomía,en,Solo
Madrid,Madrid,2024-12-16,Google Reviews,Positivo,4.0,Gastronomía,es,Amigos
Picos de Europa,Asturias/Cantabria,2024-12-16,Airbnb,Positivo,3.9,Precio,en,Amigos
Mallorca,Islas Baleares,2024-12-16,Airbnb,Neutro,3.4,Atractivos,en,Amigos
Granada,Andalucía,2024-12-17,Booking.com,Negativo,1.5,Gastronomía,de,Amigos
Sevilla,Andalucía,2024-12-17,Google Reviews,Neutro,2.8,Gastronomía,fr,Amigos
Madrid,Madrid,2024-12-17,Airbnb,Negativo,1.9,Masificación,es,Pareja
Mallorca,Islas Baleares,2024-12-17,Google Reviews,Negativo,1.9,Transporte,de,Solo
Mallorca,Islas Baleares,2024-12-18,Airbnb,Negativo,2.4,Masificación,de,Familia
Extremadura,Extremadura,2024-12-18,TripAdvisor,Neutro,3.3,Transporte,es,Familia
Ronda,Andalucía,2024-12-18,Google Reviews,Positivo,4.7,Atractivos,de,Familia
Granada,Andalucía,2024-12-19,Airbnb,Neutro,2.5,Alojamiento,en,Amigos
Sevilla,Andalucía,2024-12-19,TripAdvisor,Positivo,4.3,Transporte,it,Pareja
Valencia,Comunidad Valenciana,2024-12-19,Booking.com,Negativo,2.2,Masificación,fr,Pareja
Barcelona,Cataluña,2024-12-19,TripAdvisor,Positivo,4.4,Transporte,es,Solo
Barcelona,Cataluña,2024-12-19,Airbnb,Negativo,1.6,Transporte,de,Pareja
Mallorca,Islas Baleares,2024-12-20,Google Reviews,Negativo,2.1,Limpieza,es,Pareja
Costa Brava,Cataluña,2024-12-20,TripAdvisor,Positivo,4.6,Atractivos,fr,Pareja
Costa del Sol,Andalucía,2024-12-20,TripAdvisor,Positivo,4.7,Precio,es,Amigos
Ronda,Andalucía,2024-12-21,TripAdvisor,Positivo,4.2,Transporte,de,Familia
Tenerife,Islas Canarias,2024-12-21,TripAdvisor,Negativo,1.9,Alojamiento,es,Negocios
Barcelona,Cataluña,2024-12-21,TripAdvisor,Negativo,1.0,Masificación,de,Familia
Madrid,Madrid,2024-12-22,Google Reviews,Neutro,2.9,Precio,de,Familia
Ronda,Andalucía,2024-12-22,TripAdvisor,Neutro,3.3,Precio,de,Solo
Barcelona,Cataluña,2024-12-22,Airbnb,Neutro,3.1,Limpieza,es,Amigos
Costa Brava,Cataluña,2024-12-22,Airbnb,Negativo,1.4,Transporte,de,Familia
Barcelona,Cataluña,2024-12-22,TripAdvisor,Negativo,2.4,Limpieza,it,Amigos
Sevilla,Andalucía,2024-12-22,Booking.com,Neutro,2.6,Alojamiento,en,Familia
Extremadura,Extremadura,2024-12-23,Booking.com,Neutro,3.4,Alojamiento,fr,Negocios
Costa del Sol,Andalucía,2024-12-23,Google Reviews,Negativo,2.4,Precio,en,Amigos
Valencia,Comunidad Valenciana,2024-12-24,Google Reviews,Neutro,2.7,Alojamiento,de,Amigos
Mallorca,Islas Baleares,2024-12-24,TripAdvisor,Neutro,3.4,Gastronomía,es,Familia
Mallorca,Islas Baleares,2024-12-24,TripAdvisor,Neutro,3.4,Precio,en,Familia
Costa Brava,Cataluña,2024-12-25,TripAdvisor,Negativo,1.3,Limpieza,en,Familia
Sevilla,Andalucía,2024-12-25,TripAdvisor,Positivo,3.6,Precio,it,Pareja
San Sebastián,País Vasco,2024-12-25,Airbnb,Neutro,2.7,Alojamiento,en,Solo
Costa del Sol,Andalucía,2024-12-26,Airbnb,Negativo,1.0,Transporte,en,Familia
Teruel,Aragón,2024-12-26,Booking.com,Positivo,4.7,Alojamiento,de,Negocios
Tenerife,Islas Canarias,2024-12-26,Airbnb,Neutro,3.3,Gastronomía,fr,Familia
Picos de Europa,Asturias/Cantabria,2024-12-26,Google Reviews,Positivo,4.0,Atractivos,es,Familia
Ronda,Andalucía,2024-12-26,Google Reviews,Neutro,3.2,Transporte,es,Familia
Ronda,Andalucía,2024-12-26,Booking.com,Positivo,3.9,Atractivos,es,Pareja
Tenerife,Islas Canarias,2024-12-27,Google Reviews,Negativo,1.7,Alojamiento,it,Pareja
Barcelona,Cataluña,2024-12-27,TripAdvisor,Negativo,1.3,Atractivos,fr,Amigos
Granada,Andalucía,2024-12-27,Airbnb,Positivo,4.9,Atractivos,es,Amigos
Costa Brava,Cataluña,2024-12-27,Airbnb,Negativo,1.1,Atractivos,en,Amigos
Costa Brava,Cataluña,2024-12-28,Booking.com,Negativo,1.0,Gastronomía,es,Pareja
Costa del Sol,Andalucía,2024-12-28,Google Reviews,Neutro,3.3,Masificación,de,Amigos
Mallorca,Islas Baleares,2024-12-29,Google Reviews,Neutro,2.8,Masificación,es,Pareja
Barcelona,Cataluña,2024-12-29,Google Reviews,Negativo,2.1,Limpieza,en,Amigos
Barcelona,Cataluña,2024-12-29,Google Reviews,Negativo,1.1,Precio,fr,Pareja
Costa del Sol,Andalucía,2024-12-29,TripAdvisor,Negativo,1.4,Gastronomía,es,Pareja
Extremadura,Extremadura,2024-12-29,Airbnb,Positivo,4.5,Precio,en,Familia
Costa Brava,Cataluña,2024-12-30,TripAdvisor,Neutro,2.9,Gastronomía,es,Negocios
Costa del Sol,Andalucía,2024-12-30,Airbnb,Neutro,2.7,Alojamiento,en,Amigos
San Sebastián,País Vasco,2024-12-30,Airbnb,Positivo,4.4,Alojamiento,it,Familia
Granada,Andalucía,2024-12-31,Booking.com,Positivo,3.8,Precio,es,Familia
Sevilla,Andalucía,2024-12-31,TripAdvisor,Negativo,2.3,Transporte,de,Amigos
San Sebastián,País Vasco,2024-12-31,TripAdvisor,Neutro,2.7,Gastronomía,en,Pareja
Ronda,Andalucía,2024-12-31,Booking.com,Negativo,2.0,Alojamiento,fr,Familia
Tenerife,Islas Canarias,2024-12-31,Booking.com,Negativo,1.7,Transporte,en,Amigos
Granada,Andalucía,2025-01-01,Airbnb,Neutro,2.6,Alojamiento,de,Pareja
Sevilla,Andalucía,2025-01-01,Airbnb,Negativo,2.3,Gastronomía,de,Pareja
Ronda,Andalucía,2025-01-01,Airbnb,Neutro,2.6,Alojamiento,en,Familia
Extremadura,Extremadura,2025-01-01,Google Reviews,Neutro,3.0,Gastronomía,en,Pareja
Valencia,Comunidad Valenciana,2025-01-02,Airbnb,Negativo,2.5,Transporte,es,Amigos
Mallorca,Islas Baleares,2025-01-02,Booking.com,Negativo,1.7,Atractivos,en,Familia
Extremadura,Extremadura,2025-01-03,TripAdvisor,Positivo,3.7,Precio,it,Pareja
Mallorca,Islas Baleares,2025-01-03,Google Reviews,Negativo,1.1,Masificación,es,Amigos
Costa del Sol,Andalucía,2025-01-04,Google Reviews,Negativo,2.3,Precio,fr,Pareja
Ronda,Andalucía,2025-01-05,TripAdvisor,Positivo,5.0,Precio,es,Solo
Madrid,Madrid,2025-01-05,TripAdvisor,Negativo,2.2,Limpieza,es,Familia
Costa del Sol,Andalucía,2025-01-06,Airbnb,Positivo,4.4,Alojamiento,en,Amigos
Valencia,Comunidad Valenciana,2025-01-07,TripAdvisor,Positivo,4.8,Transporte,de,Solo
Granada,Andalucía,2025-01-08,TripAdvisor,Positivo,4.2,Atractivos,es,Familia
Valencia,Comunidad Valenciana,2025-01-08,Google Reviews,Negativo,1.9,Alojamiento,it,Pareja
Barcelona,Cataluña,2025-01-08,Booking.com,Negativo,2.2,Alojamiento,es,Amigos
Costa del Sol,Andalucía,2025-01-09,Airbnb,Negativo,1.1,Gastronomía,de,Pareja
Valencia,Comunidad Valenciana,2025-01-09,Booking.com,Positivo,3.7,Precio,es,Pareja
Mallorca,Islas Baleares,2025-01-10,Booking.com,Negativo,1.1,Limpieza,es,Amigos
Madrid,Madrid,2025-01-10,Booking.com,Negativo,1.7,Limpieza,es,Solo
Valencia,Comunidad Valenciana,2025-01-11,TripAdvisor,Neutro,3.3,Limpieza,it,Negocios
San Sebastián,País Vasco,2025-01-11,TripAdvisor,Positivo,5.0,Atractivos,es,Negocios
Barcelona,Cataluña,2025-01-11,Booking.com,Positivo,4.0,Atractivos,en,Pareja
Madrid,Madrid,2025-01-11,Booking.com,Neutro,3.2,Alojamiento,es,Familia
Teruel,Aragón,2025-01-11,Google Reviews,Positivo,3.7,Limpieza,es,Familia
Costa del Sol,Andalucía,2025-01-11,Booking.com,Negativo,1.6,Transporte,en,Negocios
Granada,Andalucía,2025-01-11,Booking.com,Negativo,1.1,Limpieza,es,Solo
Tenerife,Islas Canarias,2025-01-11,Google Reviews,Neutro,3.2,Transporte,en,Pareja
Picos de Europa,Asturias/Cantabria,2025-01-11,TripAdvisor,Positivo,4.7,Transporte,fr,Pareja
Mallorca,Islas Baleares,2025-01-11,Google Reviews,Negativo,2.3,Transporte,fr,Pareja
Madrid,Madrid,2025-01-11,Booking.com,Positivo,4.6,Alojamiento,fr,Pareja
Extremadura,Extremadura,2025-01-12,TripAdvisor,Positivo,4.7,Alojamiento,de,Pareja
Valencia,Comunidad Valenciana,2025-01-12,Google Reviews,Negativo,1.2,Limpieza,en,Amigos
Barcelona,Cataluña,2025-01-12,Airbnb,Negativo,2.0,Atractivos,en,Amigos
Mallorca,Islas Baleares,2025-01-12,TripAdvisor,Negativo,2.2,Transporte,fr,Pareja
Valencia,Comunidad Valenciana,2025-01-13,TripAdvisor,Positivo,4.0,Limpieza,it,Negocios
Madrid,Madrid,2025-01-13,Airbnb,Neutro,2.5,Limpieza,fr,Familia
Extremadura,Extremadura,2025-01-13,TripAdvisor,Positivo,3.8,Limpieza,fr,Pareja
Mallorca,Islas Baleares,2025-01-13,TripAdvisor,Negativo,2.1,Transporte,fr,Amigos
Valencia,Comunidad Valenciana,2025-01-13,Airbnb,Negativo,2.4,Alojamiento,en,Familia
Madrid,Madrid,2025-01-13,Google Reviews,Negativo,2.1,Transporte,es,Pareja
Tenerife,Islas Canarias,2025-01-14,Airbnb,Negativo,1.4,Masificación,de,Familia
Teruel,Aragón,2025-01-15,Booking.com,Negativo,2.3,Alojamiento,it,Pareja
Costa del Sol,Andalucía,2025-01-15,Booking.com,Negativo,1.8,Masificación,it,Pareja
Extremadura,Extremadura,2025-01-15,Airbnb,Neutro,3.1,Gastronomía,fr,Pareja
Ronda,Andalucía,2025-01-16,TripAdvisor,Positivo,4.2,Transporte,de,Amigos
San Sebastián,País Vasco,2025-01-17,TripAdvisor,Positivo,4.5,Gastronomía,fr,Amigos
Valencia,Comunidad Valenciana,2025-01-17,Airbnb,Positivo,3.8,Precio,en,Pareja
Granada,Andalucía,2025-01-17,TripAdvisor,Negativo,2.5,Transporte,es,Familia
